Turf Name,Games Available,Latitude,Longitude
Turf Masters,Cricket,26.7888855,80.8902022
Turf Masters,Football,26.7888855,80.8902022
Golden turf,Cricket,26.8445617,80.8969583
Golden turf,Football,26.8445617,80.8969583
The falcon turf,Cricket,26.9270854,80.9203616
The falcon turf,Football,26.9270854,80.9203616
Apex turf,Cricket,26.9155714,80.9558907
Apex turf,Football,26.9155714,80.9558907
Paradise Turf,Cricket,26.8927653,81.0708445
Paradise Turf,Football,26.8927653,81.0708445
Turf up,Cricket,26.7827427,80.9623741
Turf up,Football,26.7827427,80.9623741
Allout Arena Turf,Cricket,26.8416535,81.0393959
Allout Arena Turf,Football,26.8416535,81.0393959
Alpha Turf,Cricket,26.9615114,80.9987459
Alpha Turf,Football,26.9615114,80.9987459
The Urban Turf,Cricket,26.7961449,80.9946116
The Urban Turf,Football,26.7961449,80.9946116
Volt Arena Turf,Cricket,26.8282687,81.03165
Volt Arena Turf,Football,26.8282687,81.03165
Turf Kings - A Sports Lounge,Cricket,26.7959536,80.8797469
Turf Kings - A Sports Lounge,Football,26.7959536,80.8797469
KING LINE TURF,Cricket,26.9127037,81.1911203
KING LINE TURF,Football,26.9127037,81.1911203
Master Blaster Turf,Cricket,26.942903,80.9843038
Master Blaster Turf,Football,26.942903,80.9843038
D & C Sports Turf-Best Cricket Academy Near Me Gomti Nagar Lucknow-Best Football Cricket Academy Near Me Gomti Nagar Lucknow,Cricket,26.8162716,81.0028632
D & C Sports Turf-Best Cricket Academy Near Me Gomti Nagar Lucknow-Best Football Cricket Academy Near Me Gomti Nagar Lucknow,Football,26.8162716,81.0028632
Powerplay Pro Turf,Cricket,26.9054,80.9107906
Powerplay Pro Turf,Football,26.9054,80.9107906
Turf Titans,Cricket,26.9102367,80.9466643
Turf Titans,Football,26.9102367,80.9466643
Devbhoomi Turf Ground,Cricket,26.8410025,81.0054596
Devbhoomi Turf Ground,Football,26.8410025,81.0054596
Brothers Turf Alam Nagar,Cricket,26.841899,80.859727
Brothers Turf Alam Nagar,Football,26.841899,80.859727
Infinity Arena by Mr. Ten - Best Turf in Lucknow,Cricket,26.8674375,81.0166875
Infinity Arena by Mr. Ten - Best Turf in Lucknow,Football,26.8674375,81.0166875
Good Turf,Cricket,26.8305048,81.0322466
Good Turf,Football,26.8305048,81.0322466
Turf 41,Cricket,26.9315071,81.2084369
Turf 41,Football,26.9315071,81.2084369
Playturf,Cricket,26.8954573,80.9511917
Playturf,Football,26.8954573,80.9511917
Striker's turf,Cricket,26.889759,80.9708016
Striker's turf,Football,26.889759,80.9708016
Lords Turf And cafe,Cricket,26.8801561,80.843898
Lords Turf And cafe,Football,26.8801561,80.843898
Dugout Sports Arena - Cricket And Football Turf,Cricket,26.8679873,81.0355137
Dugout Sports Arena - Cricket And Football Turf,Football,26.8679873,81.0355137
FITNESS & FUN ARENA (TCC),Cricket,26.8949872,81.035803
FITNESS & FUN ARENA (TCC),Football,26.8949872,81.035803
GLORY MULTISPORTS TURF,Cricket,26.9041663,81.0193352
GLORY MULTISPORTS TURF,Football,26.9041663,81.0193352
The Lord's Cricket Nation | Box Cricket Turf | Football Turf | Multisport Arena,Cricket,26.8949532,81.0644097
The Lord's Cricket Nation | Box Cricket Turf | Football Turf | Multisport Arena,Football,26.8949532,81.0644097
Phoenix Arena UP32CLUB,Cricket,26.7928348,80.9043289
Phoenix Arena UP32CLUB,Football,26.7928348,80.9043289
Courtitude ù Pickleball Court + Cricket & Football Turf,Cricket,26.8471799,81.0117284
Courtitude Pickleball Court + Cricket & Football Turf,Football,26.8471799,81.0117284
Courtitude Pickleball Court + Cricket & Football Turf,Pickeball,26.8471799,81.0117284
Match Point HQ | Cricket | Football Turf and Academy,Cricket,26.8300374,81.0086728
Match Point HQ | Cricket | Football Turf and Academy,Football,26.8300374,81.0086728
Criczo turf,Cricket,26.7742007,80.9306345
Criczo turf,Football,26.7742007,80.9306345
C&C TURF,Cricket,26.7813279,80.9046242
C&C TURF,Football,26.7813279,80.9046242
Victory Vault Turf,Cricket,26.8401321,81.0319315
Victory Vault Turf,Football,26.8401321,81.0319315
Ball N Goal,Cricket,26.8242818,81.0149718
Ball N Goal,Football,26.8242818,81.0149718
Players Town,Cricket,26.844883,80.9925235
Players Town,Football,26.844883,80.9925235
Elite Sports Arena,Cricket,26.8516285,81.0018539
Elite Sports Arena,Football,26.8516285,81.0018539
Veer cricket academy turf,Cricket,26.8890786,81.0609226
Veer cricket academy turf,Football,26.8890786,81.0609226
PLAYBOX | Cricket Turf | Futsal | Volleyball |,Cricket,26.8981486,80.9360366
